StudentID;StudentName;Course;Section;Quiz1_10;Quiz2_10;Assignment_20;Project_30;Midterm_30;Final_40;Coursework_20;FinalWeighted_80;Total_100;GradeLetter;PassFlag;CLO1_Score_100;CLO2_Score_100;CLO3_Score_100;CLO1_Achieved_70plus;CLO2_Achieved_70plus;CLO3_Achieved_70plus;Attendance_Rate_P1;Attendance_Rate_P2;Attendance_Rate_P3;Engagement_P1;Engagement_P2;Delay_P1;Delay_P2;Period1_Score;Period2_Score;Period3_Score;Risk_P1;Risk_P2;Risk_P3;Risk_Response
S001;Student_1;Data Structures;DS-A;6.3;6.4;13.2;21.1;20.5;40;13.5;80;93.5;A;1;64.3;69;91.4;0;0;1;97;90;100;100;86;0;12;78;73;91;Medium Risk;Medium Risk;Low Risk;Improved
S002;Student_2;Data Structures;DS-B;4.9;8.5;12;26.8;25.1;40;15.5;80;95.5;A;1;64.7;82.5;95.5;0;1;1;94;94;88;87;94;0;20;69;82;94;Medium Risk;Low Risk;Low Risk;Improved
S003;Student_3;Data Structures;DS-B;7.7;5.1;17.7;19.4;30;37.1;16;74.1;90.1;A;1;72.2;78.6;94.7;1;1;1;95;81;100;79;95;17;9;84;84;86;Low Risk;Low Risk;Low Risk;No Change
S004;Student_4;Data Structures;DS-A;9.7;10;12.3;18.1;24.6;39.1;14.9;78.3;93.2;A;1;86.2;66.5;93.5;1;0;1;100;84;82;98;100;13;11;87;84;83;Low Risk;Low Risk;Low Risk;No Change
S005;Student_5;Data Structures;DS-A;7.3;10;20;25.8;28.2;28.2;18.3;56.4;74.7;C;1;91;90.7;76.9;1;1;1;73;81;79;72;63;25;32;81;90;77;Low Risk;Low Risk;Medium Risk;Worsened
S006;Student_6;Data Structures;DS-A;6.8;5.1;17.2;24.7;20.4;21.4;14.8;42.8;57.6;F;0;68.3;79.1;57.5;0;1;0;56;68;75;65;54;44;38;70;66;66;Medium Risk;Medium Risk;Medium Risk;No Change
S007;Student_7;Data Structures;DS-B;9;9.1;12.9;30;30;30.2;18.2;60.4;78.6;C;1;81.8;93.5;82.2;1;1;1;91;78;71;83;74;34;24;81;84;82;Low Risk;Low Risk;Low Risk;No Change
S008;Student_8;Data Structures;DS-B;2.5;5.5;15.7;21.6;10.5;40;11.2;80;91.2;A;1;52.8;63.1;82.3;0;0;1;97;99;87;90;85;3;9;68;65;89;Medium Risk;Medium Risk;Low Risk;Improved
S009;Student_9;Data Structures;DS-A;6.7;10;15;23.1;17.2;17.1;14.4;34.2;48.6;F;0;80.7;71.3;46.7;1;1;0;45;51;49;40;66;57;52;60;70;54;Medium Risk;Medium Risk;High Risk;Worsened
S010;Student_10;Data Structures;DS-B;5.2;10;16.5;17.3;17.7;28;13.3;56.1;69.4;D;1;78.2;62.5;67;1;0;0;74;64;65;54;73;29;23;66;75;65;Medium Risk;Medium Risk;Medium Risk;No Change
S011;Student_11;Data Structures;DS-B;8.6;7.4;20;13.7;30;16.7;15.9;33.4;49.3;F;0;86.7;70.4;57.6;1;1;0;46;52;40;45;37;49;51;74;78;43;Medium Risk;Medium Risk;High Risk;Worsened
S012;Student_12;Data Structures;DS-A;6.5;10;11.2;14.1;26.1;32.9;13.6;65.7;79.3;C;1;73.7;59.5;83.5;1;0;1;76;92;80;88;88;32;26;69;84;71;Medium Risk;Low Risk;Medium Risk;Mixed
S013;Student_13;Data Structures;DS-B;5.8;6.9;9.5;25.3;22.4;39;14;78;92;A;1;58.2;75;91.3;0;1;1;94;92;84;94;100;16;23;69;74;91;Medium Risk;Medium Risk;Low Risk;Improved
S014;Student_14;Data Structures;DS-B;7.3;6.4;18.4;17.1;16.3;22.1;13.1;44.1;57.2;F;0;76.3;62.6;55;1;0;0;42;70;61;45;68;51;52;67;68;57;Medium Risk;Medium Risk;High Risk;Worsened
S015;Student_15;Data Structures;DS-B;5.1;6.6;16.3;28.6;26.2;28.7;16.6;57.4;74;C;1;66.2;90.6;76;0;1;1;60;53;67;76;59;39;48;67;72;78;Medium Risk;Medium Risk;Medium Risk;No Change
S016;Student_16;Data Structures;DS-A;8;7.6;17.7;30;24.7;40;17.6;80;97.6;A;1;81.5;93.1;95.2;1;1;1;93;100;100;100;93;3;0;89;87;100;Low Risk;Low Risk;Low Risk;No Change
S017;Student_17;Data Structures;DS-B;6.6;7.2;18.8;21.6;19.8;31.3;14.8;62.6;77.4;C;1;77.3;74.4;74.9;1;1;1;69;78;71;69;90;29;31;76;78;75;Medium Risk;Medium Risk;Medium Risk;No Change
S018;Student_18;Data Structures;DS-A;7.2;8.4;16.3;30;15.1;22.1;15.4;44.2;59.6;F;0;79.2;83.1;53.9;1;1;0;62;57;57;61;53;37;42;71;65;69;Medium Risk;Medium Risk;Medium Risk;No Change
S019;Student_19;Data Structures;DS-B;6.6;6.5;20;24.1;17.4;21.5;14.9;42.9;57.8;F;0;77;77.8;54.9;1;1;0;51;59;64;58;62;45;64;72;69;64;Medium Risk;Medium Risk;Medium Risk;No Change
S020;Student_20;Data Structures;DS-A;9.8;9.9;13.4;28.6;25.3;15.9;17.4;31.8;49.2;F;0;88;87.2;51.9;1;1;0;40;40;40;38;57;49;43;65;73;56;Medium Risk;Medium Risk;High Risk;Worsened
S021;Student_21;Data Structures;DS-B;7.8;10;17.3;21.9;25.9;38.2;16.6;76.4;92.9;A;1;88.2;79.1;93;1;1;1;100;91;95;96;84;8;0;89;89;89;Low Risk;Low Risk;Low Risk;No Change
S022;Student_22;Data Structures;DS-B;9;6.8;13.7;27.8;24.4;26;16.3;52.1;68.4;D;1;75.5;85.2;69.5;1;1;0;67;71;79;74;68;38;26;76;73;76;Medium Risk;Medium Risk;Medium Risk;No Change
S023;Student_23;Data Structures;DS-B;9;4.4;12.5;18.3;23.1;40;13.4;80;93.4;A;1;65.5;65.6;93.7;0;0;1;94;100;81;100;61;0;0;85;69;84;Low Risk;Medium Risk;Low Risk;Mixed
S024;Student_24;Data Structures;DS-B;6.4;9.8;19.5;26.1;13.4;38.9;15;77.9;92.9;A;1;86.5;77.4;82.9;1;1;1;82;89;94;100;83;28;2;85;78;94;Low Risk;Medium Risk;Low Risk;Mixed
S025;Student_25;Data Structures;DS-B;9.1;10;19.3;20.7;24.3;26.7;16.7;53.4;70.1;C;1;95.8;77.3;70.6;1;1;1;66;64;72;56;68;20;22;81;83;68;Low Risk;Low Risk;Medium Risk;Worsened
S026;Student_26;Data Structures;DS-B;8.7;7.6;9.2;22.3;17.8;27.8;13.1;55.6;68.7;D;1;69.7;65.1;66.7;0;0;0;70;65;75;59;56;19;33;66;60;72;Medium Risk;Medium Risk;Medium Risk;No Change
S027;Student_27;Data Structures;DS-B;8.6;4.8;12.5;26.2;24.3;38.2;15.3;76.5;91.7;A;1;65.5;81.1;91.5;0;1;1;82;99;82;97;100;20;12;80;76;90;Low Risk;Medium Risk;Low Risk;Mixed
S028;Student_28;Data Structures;DS-B;7.2;8.7;18.2;23.9;26.8;33.2;16.9;66.4;83.3;B;1;83.3;84.4;84.7;1;1;1;86;86;73;88;69;25;35;84;86;80;Low Risk;Low Risk;Low Risk;No Change
S029;Student_29;Data Structures;DS-A;7.1;10;20;22.6;19.9;34.1;15.9;68.3;84.2;B;1;90.3;77.4;80.1;1;1;1;79;80;88;89;80;22;25;85;84;83;Low Risk;Low Risk;Low Risk;No Change
S030;Student_30;Data Structures;DS-B;9.6;3.3;14.3;26.6;17.9;18.8;14.3;37.6;52;F;0;66.8;77.6;50.5;0;1;0;50;56;54;91;53;54;42;78;55;61;Medium Risk;High Risk;Medium Risk;Mixed
